ticker_symbol,day_date,close_value,volume,open_value,high_value,low_value,change,label
AAPL,2020-05-29,317.94,38399530,319.25,321.15,316.47,-0.41033672670321136,0.0
AAPL,2020-05-28,318.25,33449100,316.77,323.44,315.63,0.4672159611074339,1.0
AAPL,2020-05-27,318.11,28236270,316.14,318.71,313.09,0.6231416461061641,1.0
AAPL,2020-05-26,316.73,31380450,323.5,324.24,316.5,-2.092735703245744,0.0
AAPL,2020-05-22,318.89,20450750,315.77,319.23,315.35,0.9880609304240444,1.0
AAPL,2020-05-21,316.85,25672210,318.66,320.89,315.87,-0.5680035147178818,0.0
AAPL,2020-05-20,319.23,27876220,316.68,319.52,316.2,0.8052292535051192,1.0
AAPL,2020-05-19,313.14,25432390,315.03,318.52,313.01,-0.5999428625845115,0.0
AAPL,2020-05-18,314.96,33843130,313.17,316.5,310.3241,0.5715745441772723,1.0
AAPL,2020-05-15,307.71,41587090,300.35,307.9,300.21,2.450474446479093,1.0
AAPL,2020-05-14,309.54,39732270,304.51,309.79,301.53,1.6518340941184297,1.0
AAPL,2020-05-13,307.65,50155640,312.15,315.95,303.21,-1.4416146083613648,0.0
AAPL,2020-05-12,311.41,40575260,317.83,319.688,310.91,-2.0199477708208664,0.0
AAPL,2020-05-11,315.01,36486560,308.1,317.05,307.24,2.2427783187276753,1.0
AAPL,2020-05-08,310.13,33511990,305.64,310.35,304.29,1.4690485538542106,1.0
AAPL,2020-05-07,303.74,28803760,303.22,305.17,301.97,0.17149264560384597,1.0
AAPL,2020-05-06,300.63,35583440,300.46,303.24,298.87,0.05657991080344003,1.0
AAPL,2020-05-05,297.56,36937800,295.06,301.0,294.46,0.8472852979055108,1.0
AAPL,2020-05-04,293.16,33391990,289.17,293.69,286.3172,1.3798111837327554,1.0
AAPL,2020-05-01,289.07,60154180,286.25,299.0,285.85,0.9851528384279452,1.0
AAPL,2020-04-30,293.8,45765970,289.96,294.53,288.35,1.3243205959442792,1.0
AAPL,2020-04-29,287.73,34320200,284.73,289.67,283.89,1.053629754504267,1.0
AAPL,2020-04-28,278.58,28001190,285.08,285.83,278.2,-2.280061737056265,0.0
AAPL,2020-04-27,283.17,29271890,281.8,284.54,279.95,0.48616039744499806,1.0
AAPL,2020-04-24,282.97,31627180,277.2,283.01,277.0,2.0815295815295958,1.0
AAPL,2020-04-23,275.03,31203580,275.87,281.75,274.87,-0.3044912458766926,0.0
AAPL,2020-04-22,276.1,29264340,273.61,277.9,272.2,0.9100544570739406,1.0
AAPL,2020-04-21,268.37,45247890,276.28,277.25,265.43,-2.8630374981902307,0.0
AAPL,2020-04-20,276.93,32503750,277.95,281.68,276.85,-0.36697247706421365,0.0
AAPL,2020-04-17,282.8,53812480,284.69,286.945,276.86,-0.6638800098352546,0.0
AAPL,2020-04-16,286.69,39281290,287.38,288.1975,282.3502,-0.24010021574222204,0.0
AAPL,2020-04-15,284.43,32788640,282.4,286.33,280.63,0.7188385269121919,1.0
AAPL,2020-04-14,287.05,48748670,280.0,288.25,278.05,2.5178571428571472,1.0
AAPL,2020-04-13,273.25,32755730,268.31,273.7,265.83,1.8411538891580628,1.0
AAPL,2020-04-09,267.99,40529120,268.7,270.07,264.7,-0.26423520655004823,0.0
AAPL,2020-04-08,266.07,42223820,262.74,267.37,261.23,1.2674126512902428,1.0
AAPL,2020-04-07,259.43,50721830,270.8,271.7,259.0,-4.1986706056130005,0.0
AAPL,2020-04-06,262.47,50455070,250.9,263.11,249.38,4.611398963730578,1.0
AAPL,2020-04-03,241.41,32470020,242.8,245.7,238.9741,-0.5724876441515712,0.0
AAPL,2020-04-02,244.93,41483490,240.34,245.15,236.9,1.9097944578513788,1.0
AAPL,2020-04-01,240.91,44054640,246.5,248.72,239.13,-2.2677484787018267,0.0
AAPL,2020-03-31,254.29,49250500,255.6,262.49,252.0,-0.5125195618153374,0.0
AAPL,2020-03-30,254.81,41994110,250.74,255.52,249.4,1.6231953417883038,1.0
AAPL,2020-03-27,247.74,51054150,252.75,255.87,247.05,-1.9821958456973259,0.0
