ticker_symbol,day_date,close_value,volume,open_value,high_value,low_value,change,label
GOOG,2020-05-29,1428.92,1838059,1416.94,1432.57,1413.35,0.8454839301593587,1.0
GOOG,2020-05-28,1416.73,1693976,1396.86,1440.84,1396.0,1.422476125023275,1.0
GOOG,2020-05-27,1417.84,1686142,1417.25,1421.74,1391.29,0.04162991709295595,1.0
GOOG,2020-05-26,1417.02,2060643,1437.27,1441.0,1412.13,-1.4089210795466407,0.0
GOOG,2020-05-22,1410.42,1309408,1396.71,1412.76,1391.83,0.9815924565586297,1.0
GOOG,2020-05-21,1402.8,1385194,1408.0,1415.49,1393.45,-0.36931818181818504,0.0
GOOG,2020-05-20,1406.72,1655375,1389.58,1410.42,1387.25,1.2334662272053498,1.0
GOOG,2020-05-19,1373.485,1280649,1386.997,1392.0,1373.485,-0.9741910040180456,0.0
GOOG,2020-05-18,1383.94,1823964,1361.75,1392.325,1354.25,1.6295208371580727,1.0
GOOG,2020-05-15,1373.19,1707747,1350.0,1374.48,1339.0,1.717777777777782,1.0
GOOG,2020-05-14,1356.13,1603077,1335.02,1357.42,1323.91,1.5812497191053414,1.0
GOOG,2020-05-13,1349.33,1812585,1377.05,1385.4822,1328.4,-2.0129988017864293,0.0
GOOG,2020-05-12,1375.74,1390600,1407.12,1415.0,1374.77,-2.230086986184539,0.0
GOOG,2020-05-11,1403.26,1412116,1378.28,1416.53,1377.152,1.8124038656876702,1.0
GOOG,2020-05-08,1388.37,1388068,1383.13,1398.76,1375.48,0.3788508672358912,1.0
GOOG,2020-05-07,1372.56,1399759,1365.94,1377.6,1355.27,0.48464793475554496,1.0
GOOG,2020-05-06,1347.3,1215423,1361.69,1371.1199,1347.29,-1.0567750369026798,0.0
GOOG,2020-05-05,1351.11,1651533,1337.92,1373.94,1337.46,0.9858586462568634,1.0
GOOG,2020-05-04,1326.8,1504017,1308.23,1327.66,1299.0,1.419475168739437,1.0
GOOG,2020-05-01,1320.61,2072639,1328.5,1352.0695,1311.0,-0.5939028980052766,0.0
GOOG,2020-04-30,1348.66,2668906,1324.88,1352.82,1322.49,1.7948795362598853,1.0
GOOG,2020-04-29,1341.48,3793624,1341.46,1359.99,1325.34,0.0014909128859587175,1.0
GOOG,2020-04-28,1233.67,2951309,1287.93,1288.05,1232.2,-4.212961884574471,0.0
GOOG,2020-04-27,1275.88,1600563,1296.0,1296.15,1269.0,-1.5524691358024607,0.0
GOOG,2020-04-24,1279.31,1640394,1261.17,1280.4,1249.45,1.4383469318172706,1.0
GOOG,2020-04-23,1276.31,1566203,1271.55,1293.31,1265.67,0.3743462703000268,1.0
GOOG,2020-04-22,1263.21,2093140,1245.54,1285.6133,1242.0,1.4186617852497772,1.0
GOOG,2020-04-21,1216.34,2153003,1247.0,1254.27,1209.71,-2.4587008821170873,0.0
GOOG,2020-04-20,1266.61,1695488,1271.0,1281.6,1261.37,-0.34539732494099923,0.0
GOOG,2020-04-17,1283.25,1949042,1284.85,1294.43,1271.23,-0.12452815503754597,0.0
GOOG,2020-04-16,1263.47,2518099,1274.1,1279.0,1242.62,-0.8343144180205544,0.0
GOOG,2020-04-15,1262.47,1671703,1245.61,1280.46,1240.4,1.3535536805260178,1.0
GOOG,2020-04-14,1269.23,2470353,1245.09,1282.07,1236.93,1.938815667943691,1.0
GOOG,2020-04-13,1217.56,1739828,1209.18,1220.51,1187.5984,0.6930316412775502,1.0
GOOG,2020-04-09,1211.45,2175421,1224.08,1225.57,1196.7351,-1.0317953074962325,0.0
GOOG,2020-04-08,1210.28,1975135,1206.5,1219.07,1188.16,0.3133029423953562,1.0
GOOG,2020-04-07,1186.51,2387329,1221.0,1225.0,1182.23,-2.8247338247338254,0.0
GOOG,2020-04-06,1186.92,2664723,1138.0,1194.66,1130.94,4.298769771529005,1.0
GOOG,2020-04-03,1097.88,2313400,1119.015,1123.54,1079.81,-1.8887146284902339,0.0
GOOG,2020-04-02,1120.84,1964881,1098.26,1126.86,1096.4,2.0559794584160334,1.0
GOOG,2020-04-01,1105.62,2344173,1122.0,1129.69,1097.45,-1.4598930481283519,0.0
GOOG,2020-03-31,1162.81,2487983,1147.3,1175.31,1138.14,1.351869606903163,1.0
GOOG,2020-03-30,1146.82,2574061,1125.04,1151.63,1096.48,1.9359311668918415,1.0
GOOG,2020-03-27,1110.71,3208495,1125.67,1150.6702,1105.91,-1.328986292607961,0.0
GOOG,2020-03-26,1161.75,3573755,1111.8,1169.97,1093.53,4.492714516999465,1.0
GOOG,2020-03-25,1102.49,4081528,1126.47,1148.9,1086.01,-2.128773957584314,0.0
GOOG,2020-03-24,1134.46,3344450,1103.77,1135.0,1090.62,2.7804705690497165,1.0
GOOG,2020-03-23,1056.62,4044137,1061.32,1071.32,1013.5361,-0.44284475935627765,0.0
GOOG,2020-03-20,1072.32,3601750,1135.72,1143.99,1065.49,-5.582361849751708,0.0
GOOG,2020-03-19,1115.29,3651106,1093.05,1157.9699,1060.1075,2.03467361968803,1.0
GOOG,2020-03-18,1096.8,4233435,1056.51,1106.5,1037.28,3.813499162336368,1.0
GOOG,2020-03-17,1119.8,3861489,1093.11,1130.86,1056.01,2.4416572897512654,1.0
GOOG,2020-03-16,1084.33,4252365,1096.0,1152.2665,1074.44,-1.0647810218978169,0.0
GOOG,2020-03-13,1219.73,3700125,1179.0,1219.76,1117.1432,3.454622561492792,1.0
GOOG,2020-03-12,1114.91,4226748,1126.0,1193.87,1113.3,-0.9849023090586073,0.0
GOOG,2020-03-11,1215.41,2611229,1249.7,1260.96,1196.07,-2.743858526046248,0.0
GOOG,2020-03-10,1280.39,2611373,1260.0,1281.15,1218.77,1.6182539682539763,1.0
GOOG,2020-03-09,1215.56,3365365,1205.3,1254.7599,1200.0,0.851240355098315,1.0
GOOG,2020-03-06,1298.41,2660628,1277.06,1306.22,1261.05,1.67180868557469,1.0
GOOG,2020-03-05,1319.04,2561288,1350.2,1358.91,1305.1,-2.3078062509257946,0.0
GOOG,2020-03-04,1386.52,1913315,1359.23,1388.09,1343.11,2.0077543903533592,1.0
GOOG,2020-03-03,1341.39,2402326,1399.42,1410.15,1332.0,-4.146717925997912,0.0
GOOG,2020-03-02,1389.11,2431468,1351.61,1390.87,1326.815,2.7744689666397853,1.0
GOOG,2020-02-28,1339.33,3790618,1277.5,1341.14,1271.0,4.839921722113497,1.0
GOOG,2020-02-27,1318.09,2978300,1362.06,1371.7037,1317.17,-3.228198464091158,0.0
GOOG,2020-02-26,1393.18,2204037,1396.14,1415.7,1379.0,-0.21201312189322247,0.0
GOOG,2020-02-25,1388.45,2478278,1433.0,1438.14,1382.4,-3.108862526168873,0.0
GOOG,2020-02-24,1421.59,2867053,1426.11,1436.97,1411.39,-0.3169460981270717,0.0
GOOG,2020-02-21,1485.11,1732273,1508.03,1512.215,1480.44,-1.519863663189729,0.0
GOOG,2020-02-20,1518.15,1096552,1522.0,1529.64,1506.82,-0.25295663600525026,0.0
GOOG,2020-02-19,1526.69,949268,1525.07,1532.1063,1521.4,0.1062246323119672,1.0
GOOG,2020-02-18,1519.67,1121140,1515.0,1531.63,1512.59,0.30825082508251306,1.0
GOOG,2020-02-14,1520.74,1197836,1515.6,1520.74,1507.34,0.3391396146740631,1.0
GOOG,2020-02-13,1514.66,929730,1512.69,1527.18,1504.6,0.13023157421547224,1.0
GOOG,2020-02-12,1518.27,1167565,1514.48,1520.695,1508.11,0.25025091120384313,1.0
GOOG,2020-02-11,1508.79,1344633,1511.81,1529.63,1505.6378,-0.19976055192120584,0.0
GOOG,2020-02-10,1508.68,1419876,1474.32,1509.5,1474.32,2.3305659558304934,1.0
GOOG,2020-02-07,1479.23,1172270,1467.3,1485.84,1466.35,0.8130579976828232,1.0
GOOG,2020-02-06,1476.23,1679384,1450.33,1481.9997,1449.57,1.7858004729958072,1.0
GOOG,2020-02-05,1448.23,1986157,1462.42,1463.84,1430.56,-0.970309487014678,0.0
GOOG,2020-02-04,1447.07,3932954,1457.07,1469.5,1426.3,-0.6863088252451839,0.0
GOOG,2020-02-03,1485.94,3055216,1462.0,1490.0,1458.99,1.6374829001368028,1.0
GOOG,2020-01-31,1434.23,2417214,1468.9,1470.13,1428.53,-2.360269589488738,0.0
GOOG,2020-01-30,1455.84,1339421,1439.96,1457.28,1436.4,1.1028084113447514,1.0
GOOG,2020-01-29,1458.63,1078667,1458.8,1465.43,1446.74,-0.011653413764727541,0.0
GOOG,2020-01-28,1452.56,1577422,1443.0,1456.0,1432.47,0.6625086625086587,1.0
GOOG,2020-01-27,1433.9,1755201,1431.0,1438.07,1421.2,0.20265548567435995,1.0
GOOG,2020-01-24,1466.71,1784644,1493.59,1495.495,1465.25,-1.7996906781646826,0.0
GOOG,2020-01-23,1486.65,1351354,1487.64,1495.52,1482.1,-0.06654835847382491,0.0
GOOG,2020-01-22,1485.95,1610846,1491.0,1503.2143,1484.93,-0.3386988598256173,0.0
GOOG,2020-01-21,1484.4,2036780,1479.12,1491.85,1471.2,0.35696900859972147,1.0
GOOG,2020-01-17,1480.39,2396215,1462.91,1481.2954,1458.22,1.1948787006719495,1.0
GOOG,2020-01-16,1451.7,1173688,1447.44,1451.99,1440.92,0.29431271762560046,1.0
GOOG,2020-01-15,1439.2,1282685,1430.21,1441.395,1430.21,0.6285790198642164,1.0
GOOG,2020-01-14,1430.88,1560453,1439.01,1441.8,1428.37,-0.5649717514124212,0.0
GOOG,2020-01-13,1439.23,1653482,1436.13,1440.52,1426.02,0.21585789587292994,1.0
GOOG,2020-01-10,1429.73,1821566,1427.56,1434.9292,1418.35,0.15200762139595342,1.0
GOOG,2020-01-09,1419.83,1502664,1420.57,1427.33,1410.27,-0.05209176598126168,0.0
GOOG,2020-01-08,1404.32,1529177,1392.08,1411.58,1390.84,0.8792598126544457,1.0
GOOG,2020-01-07,1393.34,1511693,1397.94,1402.99,1390.38,-0.32905561039816705,0.0
GOOG,2020-01-06,1394.21,1733149,1350.0,1396.5,1350.0,3.274814814814817,1.0
GOOG,2020-01-03,1360.66,1187006,1347.86,1372.5,1345.5436,0.9496535248468078,1.0
GOOG,2020-01-02,1367.37,1406731,1341.55,1368.14,1341.55,1.9246394096381003,1.0
GOOG,2019-12-31,1337.02,962468,1330.11,1338.0,1329.085,0.5195059055266168,1.0
GOOG,2019-12-30,1336.14,1051323,1350.0,1353.0,1334.02,-1.0266666666666593,0.0
GOOG,2019-12-27,1351.89,1038718,1362.99,1364.53,1349.31,-0.8143860189729865,0.0
GOOG,2019-12-26,1360.4,667754,1346.17,1361.3269,1344.47,1.0570730294093627,1.0
GOOG,2019-12-24,1343.56,347518,1348.5,1350.26,1342.78,-0.3663329625509866,0.0
GOOG,2019-12-23,1348.84,883200,1355.87,1359.7999,1346.51,-0.518486285558348,0.0
GOOG,2019-12-20,1349.59,3316905,1363.35,1363.64,1349.0,-1.009278615175853,0.0
GOOG,2019-12-19,1356.04,1470112,1351.82,1358.1,1348.985,0.312171738840972,1.0
GOOG,2019-12-18,1352.62,1657069,1356.6,1360.47,1351.0,-0.2933805100987777,0.0
GOOG,2019-12-17,1355.12,1855259,1362.89,1365.0,1351.3231,-0.5701120413239666,0.0
GOOG,2019-12-16,1361.17,1397451,1356.5,1364.68,1352.67,0.3442683376336213,1.0
GOOG,2019-12-13,1347.83,1550028,1347.95,1353.0931,1343.87,-0.008902407359332188,0.0
GOOG,2019-12-12,1350.27,1281722,1345.94,1355.775,1340.5,0.32170824851032936,1.0
GOOG,2019-12-11,1345.02,850796,1350.84,1351.2,1342.67,-0.4308430310029268,0.0
GOOG,2019-12-10,1344.66,1094653,1341.5,1349.975,1336.04,0.2355572120760404,1.0
GOOG,2019-12-09,1343.56,1355795,1338.04,1359.45,1337.84,0.4125437206660475,1.0
GOOG,2019-12-06,1340.62,1315510,1333.44,1344.0,1333.44,0.5384569234461121,1.0
GOOG,2019-12-05,1328.13,1212818,1328.0,1329.3579,1316.44,0.009789156626514244,1.0
GOOG,2019-12-04,1320.54,1538110,1307.01,1325.8,1304.87,1.0351871829595773,1.0
